date,global_total_cases,global_total_deaths
2023-09-07,770262069,6966205
2023-09-08,770269605,6966287
2023-09-09,770278083,6966347
2023-09-10,770307277,6966587
2023-09-11,770332251,6966751
2023-09-12,770351792,6968349
2023-09-13,770364255,6968411
2023-09-14,770374153,6968485
2023-09-15,770383118,6968558
2023-09-16,770392080,6968635
2023-09-17,770427853,6968862
2023-09-18,770451831,6969018
2023-09-19,770478027,6970635
2023-09-20,770490993,6970716
2023-09-21,770501561,6970795
2023-09-22,770512481,6970881
2023-09-23,770522312,6970948
2023-09-24,770564701,6971215
2023-09-25,770599194,6971370
2023-09-26,770630673,6973094
2023-09-27,770644291,6973170
2023-09-28,770656507,6973257
2023-09-29,770668590,6973344
2023-09-30,770680027,6973479
2023-10-01,770722190,6973742
2023-10-02,770762688,6974050
2023-10-03,770797212,6975735
2023-10-04,770813411,6975823
2023-10-05,770826687,6975904
2023-10-06,770838562,6976012
2023-10-07,770849492,6976114
2023-10-08,770889341,6976414
2023-10-09,770924523,6976618
2023-10-10,770958053,6978190
2023-10-11,770971657,6978290
2023-10-12,770983640,6978398
2023-10-13,770994165,6978512
2023-10-14,771003205,6978619
2023-10-15,771040438,6978981
2023-10-16,771075194,6979239
2023-10-17,771110795,6980937
2023-10-18,771122193,6981063
2023-10-19,771131219,6981168
2023-10-20,771139704,6981296
2023-10-21,771148887,6982672
2023-10-22,771181108,6983035
2023-10-23,771215506,6983215
2023-10-24,771257845,6984747
2023-10-25,771269238,6984783
2023-10-26,771278772,6984839
2023-10-27,771287213,6984890
2023-10-28,771295629,6984937
2023-10-29,771323409,6985207
2023-10-30,771459208,6986084
2023-10-31,771469393,6987478
2023-11-01,771470413,6987481
2023-11-02,771471429,6987507
2023-11-03,771472133,6987507
2023-11-04,771473396,6987508
2023-11-05,771476426,6987578
2023-11-06,771629962,6988686
2023-11-07,771640983,6990234
2023-11-08,771641805,6990240
2023-11-09,771642693,6990240
2023-11-10,771643427,6990242
2023-11-11,771644545,6990244
2023-11-12,771647103,6990283
2023-11-13,771831729,6991383
2023-11-14,771843739,6992986
2023-11-15,771844604,6992989
2023-11-16,771845552,6992990
2023-11-17,771846379,6992991
2023-11-18,771847631,6992994
2023-11-19,771850471,6993024
2023-11-20,772066955,6994083
2023-11-21,772079315,6995676
2023-11-22,772079392,6995677
2023-11-23,772079619,6995677
2023-11-24,772079753,6995679
2023-11-25,772080613,6995682
2023-11-26,772084590,6995710
2023-11-27,772347637,6997010
2023-11-28,772357753,6998920
2023-11-29,772357891,6998920
2023-11-30,772358133,6998922
2023-12-01,772358304,6998922
2023-12-02,772359098,6998936
2023-12-03,772366282,6998962
2023-12-04,772673070,7000385
2023-12-05,772682848,7002326
2023-12-06,772683223,7002327
2023-12-07,772683443,7002330
2023-12-08,772684059,7002333
2023-12-09,772685034,7002338
2023-12-10,772698910,7002362
2023-12-11,773046731,7003890
2023-12-12,773055852,7005862
2023-12-13,773056114,7005863
2023-12-14,773057141,7005865
2023-12-15,773057859,7005868
2023-12-16,773059188,7005876
2023-12-17,773080623,7005916
2023-12-18,773400594,7007334
2023-12-19,773411030,7009391
2023-12-20,773412141,7009398
2023-12-21,773413386,7009417
2023-12-22,773414511,7009424
2023-12-23,773416204,7009438
2023-12-24,773443359,7009472
2023-12-25,773670595,7010792
2023-12-26,773681800,7013191
2023-12-27,773682679,7013196
2023-12-28,773684071,7013203
2023-12-29,773685319,7013212
2023-12-30,773687027,7013224
2023-12-31,773708956,7013267
2024-01-01,773880848,7014638
2024-01-02,773903386,7017352
2024-01-03,773904409,7017361
2024-01-04,773906043,7017368
2024-01-05,773907374,7017382
2024-01-06,773909229,7017391
2024-01-07,773910539,7017463
2024-01-08,774061248,7018568
2024-01-09,774082123,7021428
2024-01-10,774083056,7021435
2024-01-11,774084607,7021444
2024-01-12,774085733,7021450
2024-01-13,774087189,7021428
2024-01-14,774100487,7021453
2024-01-15,774203957,7022411
2024-01-16,774224746,7024986
2024-01-17,774225281,7024992
2024-01-18,774226364,7024997
2024-01-19,774227196,7025001
2024-01-20,774228519,7025020
2024-01-21,774237687,7025055
2024-01-22,774323775,7025688
2024-01-23,774345951,7028017
2024-01-24,774346309,7028022
2024-01-25,774347124,7028024
2024-01-26,774347753,7028028
2024-01-27,774348966,7028047
2024-01-28,774354020,7028065
2024-01-29,774426523,7028565
2024-01-30,774448531,7030483
2024-01-31,774448816,7030486
2024-02-01,774449650,7030493
2024-02-02,774450374,7030496
2024-02-03,774451432,7030508
2024-02-04,774454694,7030540
2024-02-05,774522235,7030978
2024-02-06,774539415,7032759
2024-02-07,774539610,7032762
2024-02-08,774540379,7032763
2024-02-09,774540430,7032764
2024-02-10,774541267,7032772
2024-02-11,774543652,7032780
2024-02-12,774603515,7033057
2024-02-13,774619126,7034595
2024-02-14,774619287,7034596
2024-02-15,774620190,7034597
2024-02-16,774620406,7034600
2024-02-17,774621138,7034608
2024-02-18,774622488,7034636
2024-02-19,774677389,7034905
2024-02-20,774693728,7036361
2024-02-21,774693929,7036363
2024-02-22,774695498,7036365
2024-02-23,774696861,7036366
2024-02-24,774697587,7036370
2024-02-25,774699137,7036410
2024-02-26,774750439,7036641
2024-02-27,774766428,7038045
2024-02-28,774766656,7038046
2024-02-29,774768230,7038051
2024-03-01,774769058,7038086
2024-03-02,774769747,7038090
2024-03-03,774771117,7038116
2024-03-04,774814336,7038311
2024-03-05,774827299,7039542
2024-03-06,774827570,7039542
2024-03-07,774829124,7039547
2024-03-08,774830590,7039549
2024-03-09,774831302,7039556
2024-03-10,774832094,7039574
2024-03-11,774872194,7039760
2024-03-12,774884801,7040899
2024-03-13,774885033,7040901
2024-03-14,774886724,7040902
2024-03-15,774888527,7040907
2024-03-16,774889276,7040912
2024-03-17,774890100,7040916
2024-03-18,774927821,7041139
2024-03-19,774936594,7042095
2024-03-20,774936834,7042097
2024-03-21,774938286,7042135
2024-03-22,774939314,7042137
2024-03-23,774940167,7042144
2024-03-24,774940909,7042172
2024-03-25,775046956,7042341
2024-03-26,775051653,7043143
2024-03-27,775051758,7043143
2024-03-28,775052857,7043146
2024-03-29,775053509,7043150
2024-03-30,775054381,7043156
2024-03-31,775054969,7043176
2024-04-01,775088680,7043350
2024-04-02,775092312,7044050
2024-04-03,775092439,7044052
2024-04-04,775093277,7044054
2024-04-05,775093771,7044057
2024-04-06,775094689,7044061
2024-04-07,775095383,7044081
2024-04-08,775127219,7044245
2024-04-09,775132365,7044901
2024-04-10,775132455,7044903
2024-04-11,775133245,7044905
2024-04-12,775133908,7044905
2024-04-13,775134931,7044912
2024-04-14,775135306,7044923
2024-04-15,775161823,7045046
2024-04-16,775164077,7045617
2024-04-17,775164192,7045618
2024-04-18,775165105,7045620
2024-04-19,775165641,7045621
2024-04-20,775166781,7045626
2024-04-21,775167699,7045644
2024-04-22,775195823,7045784
2024-04-23,775197981,7046269
2024-04-24,775198139,7046269
2024-04-25,775199089,7046270
2024-04-26,775199624,7046270
2024-04-27,775201456,7046279
2024-04-28,775202509,7046286
2024-04-29,775227119,7046390
2024-04-30,775229318,7046870
2024-05-01,775229467,7046884
2024-05-02,775230536,7046885
2024-05-03,775231138,7046886
2024-05-04,775233036,7046899
2024-05-05,775233991,7046905
2024-05-06,775260868,7047037
2024-05-07,775263077,7047418
2024-05-08,775263208,7047421
2024-05-09,775264282,7047421
2024-05-10,775265057,7047423
2024-05-11,775267048,7047435
2024-05-12,775268330,7047440
2024-05-13,775299457,7047503
2024-05-14,775302076,7047887
2024-05-15,775302195,7047889
2024-05-16,775303091,7047891
2024-05-17,775303597,7047897
2024-05-18,775305620,7047914
2024-05-19,775307082,7047928
2024-05-20,775332753,7048043
2024-05-21,775335214,7048437
2024-05-22,775335359,7048437
2024-05-23,775336027,7048437
2024-05-24,775336407,7048438
2024-05-25,775338282,7048444
2024-05-26,775339780,7048454
2024-05-27,775368450,7048561
2024-05-28,775370659,7048917
2024-05-29,775370778,7048918
2024-05-30,775371197,7048919
2024-05-31,775371515,7048921
2024-06-01,775373458,7048936
2024-06-02,775375361,7048947
2024-06-03,775404804,7049116
2024-06-04,775406503,7049467
2024-06-05,775406595,7049467
2024-06-06,775406960,7049467
2024-06-07,775407252,7049467
2024-06-08,775410061,7049473
2024-06-09,775412221,7049478
2024-06-10,775441773,7049621
2024-06-11,775443596,7050021
2024-06-12,775443628,7050021
2024-06-13,775443885,7050021
2024-06-14,775444132,7050021
2024-06-15,775447031,7050029
2024-06-16,775450011,7050035
2024-06-17,775482078,7050262
2024-06-18,775484097,7050732
2024-06-19,775484109,7050732
2024-06-20,775484369,7050736
2024-06-21,775484565,7050736
2024-06-22,775486407,7050748
2024-06-23,775489320,7050751
2024-06-24,775528439,7050963
2024-06-25,775530709,7051432
2024-06-26,775530737,7051432
2024-06-27,775531142,7051432
2024-06-28,775531404,7051433
2024-06-29,775534686,7051449
2024-06-30,775538574,7051453
2024-07-01,775580962,7051676
2024-07-02,775583678,7052244
2024-07-03,775583700,7052244
2024-07-04,775584115,7052244
2024-07-05,775584465,7052244
2024-07-06,775585860,7052255
2024-07-07,775589654,7052260
2024-07-08,775632185,7052507
2024-07-09,775634885,7053137
2024-07-10,775634919,7053137
2024-07-11,775635498,7053137
2024-07-12,775635866,7053137
2024-07-13,775636896,7053143
2024-07-14,775639811,7053145
2024-07-15,775687189,7053418
2024-07-16,775690741,7054190
2024-07-17,775690750,7054190
2024-07-18,775691819,7054191
2024-07-19,775692298,7054191
2024-07-20,775693368,7054194
2024-07-21,775695436,7054201
2024-07-22,775749790,7054519
2024-07-23,775753138,7055428
2024-07-24,775753190,7055428
2024-07-25,775753892,7055428
2024-07-26,775754506,7055429
2024-07-27,775755434,7055431
2024-07-28,775756996,7055440
2024-07-29,775814661,7055721
2024-07-30,775817583,7056754
2024-07-31,775817592,7056754
2024-08-01,775818373,7056756
2024-08-02,775819039,7056756
2024-08-03,775819605,7056757
2024-08-04,775820767,7056770
2024-08-05,775880600,7057075
2024-08-06,775882625,7058192
2024-08-07,775882626,7058192
2024-08-08,775883405,7058192
2024-08-09,775883990,7058192
2024-08-10,775884601,7058196
2024-08-11,775885938,7058201
2024-08-12,775945155,7058489
2024-08-13,775947030,7059607
2024-08-14,775947033,7059607
2024-08-15,775947629,7059607
2024-08-16,775948144,7059607
2024-08-17,775948582,7059608
2024-08-18,775949686,7059618
2024-08-19,776020925,7059981
2024-08-20,776022463,7061273
2024-08-21,776022464,7061273
2024-08-22,776022919,7061273
2024-08-23,776023388,7061273
2024-08-24,776023649,7061273
2024-08-25,776024763,7061277
2024-08-26,776100732,7061625
2024-08-27,776102026,7063010
2024-08-28,776102027,7063010
2024-08-29,776102437,7063010
2024-08-30,776102440,7063010
2024-08-31,776103468,7063011
2024-09-01,776104418,7063032
2024-09-02,776181852,7063373
2024-09-03,776183047,7064620
2024-09-04,776183050,7064620
2024-09-05,776183353,7064620
2024-09-06,776183354,7064620
2024-09-07,776184031,7064621
2024-09-08,776184748,7064628
2024-09-09,776269023,7064912
2024-09-10,776270199,7066181
2024-09-11,776270200,7066181
2024-09-12,776270431,7066181
